,player,player_id,scoring Average,SG total Average,SG OTT Average,SG ATG Average,SG TTG Average,SG APR Average,SG PUT Average,avg_score_tourney,avg_cut_tourney,avg_score_course,avg_cut_course,index,2022_score,2022_cut
62,Jason Dufner,25686,72.04,-0.814,-0.091,0.073,0.006,0.191,-0.82,-3.0,0.75,-3.0,0.75,498.0,10.0,0.0
63,Tyler Duncan,45609,71.438,-0.597,0.293,-0.504,-0.314,-0.18,-0.283,-2.33,0.33,-2.33,0.33,555.0,-2.0,1.0
64,Nico Echavarria,51349,71.522,-0.854,-0.112,-0.262,-0.877,-0.472,0.023,,,,,,,
65,Austin Eckroat,57362,70.631,0.586,0.378,0.052,0.447,0.001,0.139,-9.0,1.0,-9.0,1.0,,,
66,Ernie Els,06522,,,,,,,,,,,,,,
67,Harrison Endycott,47079,71.507,-0.308,-0.203,0.065,-0.387,-0.334,0.078,,,,,,,
68,Harris English,34099,70.585,0.481,-0.337,0.295,-0.022,0.011,0.503,-7.0,0.5,-7.0,0.5,,,
69,Matt Every,28307,,,,,,,,3.75,0.25,3.75,0.25,516.0,7.0,0.0
70,Brad Faxon,01329,,,,,,,,,,,,,,
71,Tony Finau,29725,69.809,1.498,0.298,0.219,1.482,0.816,0.017,-13.25,1.0,-13.25,1.0,556.0,-17.0,1.0
72,Matt Fitzpatrick,40098,70.161,1.059,0.253,0.213,0.549,0.067,0.51,,,,,,,
73,Tommy Fleetwood,30911,69.296,1.866,0.319,0.406,1.373,0.462,0.492,1.0,0.0,1.0,0.0,,,
74,Rickie Fowler,32102,69.379,1.731,0.207,0.278,1.306,0.75,0.426,-4.5,1.0,-4.5,1.0,536.0,-3.0,1.0
75,Ryan Fox,29936,,,,,,,,,,,,,,
76,Robin Freeman,01374,,,,,,,,,,,,,,
77,Dylan Frittelli,29970,72.394,-1.214,-0.427,-0.045,-1.256,-0.485,0.042,-4.0,0.5,-4.0,0.5,473.0,4.0,0.0
78,Jim Furyk,10809,,,,,,,,,,,,,,
79,Brice Garnett,29535,71.6,0.036,-0.181,0.057,-0.17,-0.139,0.205,-9.25,1.0,-9.25,1.0,447.0,-4.0,1.0
80,Robert Garrigus,24358,,,,,,,,-5.5,0.5,-5.5,0.5,,,
