,player,player_id,scoring Average,SG total Average,SG OTT Average,SG ATG Average,SG TTG Average,SG APR Average,SG PUT Average,avg_score_tourney,avg_cut_tourney,avg_score_course,avg_cut_course,index,2022_score,2022_cut,odds
61,Zecheng Dou,37338,71.669,-0.686,0.174,-0.013,-0.141,-0.221,-0.544,5.0,0.0,5.0,0.0,,,,
62,Jason Dufner,25686,72.215,-1.086,-0.209,0.124,-0.186,0.112,-0.9,4.0,0.0,4.0,0.0,,,,
63,Tyler Duncan,45609,71.442,-0.729,0.283,-0.523,-0.381,-0.139,-0.349,-5.2,1.0,-5.2,1.0,1118.0,-4.0,1.0,
64,Nico Echavarria,51349,71.488,-0.86,-0.068,-0.304,-0.999,-0.553,0.139,,,,,,,,
65,Austin Eckroat,57362,70.681,0.68,0.457,0.064,0.622,0.098,0.058,-3.0,1.0,-3.0,1.0,,,,
66,Ernie Els,06522,,,,,,,,-4.0,1.0,-4.0,1.0,,,,
67,Harrison Endycott,47079,71.478,-0.234,-0.175,0.025,-0.409,-0.373,0.176,,,,,,,,
68,Harris English,34099,70.571,0.547,-0.321,0.274,-0.014,0.047,0.561,-2.8,0.4,-2.8,0.4,1040.0,-9.0,1.0,
69,Matt Every,28307,,,,,,,,1.67,0.33,1.67,0.33,,,,
70,Brad Faxon,01329,,,,,,,,,,,,,,,
71,Tony Finau,29725,69.643,1.697,0.326,0.279,1.65,0.927,0.047,-3.5,0.5,-3.5,0.5,1119.0,-10.0,1.0,
72,Matt Fitzpatrick,40098,70.159,1.231,0.33,0.328,0.746,0.052,0.485,,,,,,,,
73,Tommy Fleetwood,30911,69.418,1.946,0.284,0.442,1.501,0.54,0.445,-9.0,1.0,-9.0,1.0,,,,
74,Rickie Fowler,32102,69.537,1.634,0.174,0.299,1.311,0.745,0.323,3.5,0.0,3.5,0.0,1095.0,3.0,0.0,
75,Ryan Fox,29936,,,,,,,,,,,,,,,
76,Robin Freeman,01374,,,,,,,,,,,,,,,
77,Dylan Frittelli,29970,72.263,-1.009,-0.449,-0.033,-1.084,-0.413,0.075,2.5,0.0,2.5,0.0,1027.0,5.0,0.0,
78,Jim Furyk,10809,,,,,,,,-5.25,0.75,-5.25,0.75,,,,
79,Brice Garnett,29535,71.57,0.038,-0.245,0.114,-0.309,-0.255,0.347,-2.6,0.2,-2.6,0.2,1003.0,-1.0,0.0,
80,Robert Garrigus,24358,,,,,,,,-2.67,0.33,-2.67,0.33,,,,
81,Ryan Gerard,59018,71.226,-0.208,-0.189,-0.059,0.182,0.203,-0.39,,,,,,,,
82,Doug Ghim,52375,71.335,-0.037,0.001,0.133,0.189,0.022,-0.226,2.33,0.33,2.33,0.33,1028.0,1.0,0.0,
