,player,player_id,scoring Average,SG total Average,SG OTT Average,SG ATG Average,SG TTG Average,SG APR Average,SG PUT Average,avg_score_tourney,avg_cut_tourney,avg_score_course,avg_cut_course,index,2022_score,2022_cut,odds
196,Jordan Spieth,34046,70.062,1.296,0.107,0.372,1.063,0.547,0.233,,,2.0,1.0,,,,500000.0
197,Kevin Stadler,26679,,,,,,,,,,,,,,,
198,Scott Stallings,30692,71.375,-0.147,0.011,0.163,-0.164,-0.369,0.017,5.33,0.33,5.8,0.4,,,,
199,Kyle Stanley,30110,72.958,-1.963,0.056,-0.317,-0.521,-0.29,-1.442,-1.5,0.75,0.8,0.6,,,,
200,Sam Stevens,55893,70.721,0.489,0.364,-0.123,0.399,0.209,0.09,,,,,,,,
201,Sepp Straka,49960,71.379,0.362,-0.25,-0.222,0.086,0.608,0.276,3.0,0.33,4.0,0.5,1966.0,1.0,0.0,500000.0
202,Robert Streb,34431,72.015,-1.156,-0.27,-0.044,-0.543,-0.29,-0.613,0.17,0.67,0.83,0.67,,,,500000.0
203,Kevin Streelman,27214,71.502,-0.075,0.05,0.035,0.002,-0.077,-0.076,3.29,0.43,1.2,0.6,1915.0,6.0,0.0,103750.0
204,Chris Stroud,27963,71.227,-0.096,-0.261,-0.169,0.084,0.512,-0.18,4.6,0.4,4.0,0.6,,,,
205,Brian Stuard,31560,72.266,-0.828,-0.983,0.353,-0.989,-0.387,0.161,4.2,0.4,3.75,0.5,1864.0,6.0,0.0,
206,Justin Suh,50493,70.903,0.059,0.058,-0.412,-0.365,0.021,0.424,13.0,0.0,13.0,0.0,,,,266667.0
207,Adam Svensson,40115,70.837,0.794,0.1,0.097,0.448,0.399,0.345,3.5,0.0,2.0,0.0,1853.0,5.0,0.0,2200.0
208,Callum Tarren,48699,71.813,-0.658,-0.079,-0.504,-0.554,0.067,-0.104,,,,,,,,283333.0
209,Ben Taylor,48119,70.669,0.871,-0.027,0.026,0.079,0.141,0.792,,,,,,,,500000.0
210,Nick Taylor,25493,70.297,1.101,0.0,0.339,0.692,0.329,0.409,1.43,0.57,3.4,0.4,1940.0,-1.0,1.0,
