,player,player_id,scoring Average,SG total Average,SG OTT Average,SG ATG Average,SG TTG Average,SG APR Average,SG PUT Average,avg_score_tourney,avg_cut_tourney,avg_score_course,avg_cut_course,index,2022_score,2022_cut
62,Jason Dufner,25686,72.292,-1.201,-0.164,0.108,-0.167,0.122,-1.034,-5.33,0.33,-5.33,0.33,923.0,-1.0,0.0
63,Tyler Duncan,45609,71.449,-0.667,0.262,-0.519,-0.294,-0.074,-0.373,-9.33,0.67,-9.33,0.67,,,
64,Nico Echavarria,51349,71.55,-0.907,-0.089,-0.289,-0.961,-0.532,0.054,,,,,,,
65,Austin Eckroat,57362,70.654,0.641,0.386,0.067,0.522,0.026,0.119,,,,,,,
66,Ernie Els,06522,,,,,,,,,,,,,,
67,Harrison Endycott,47079,71.524,-0.264,-0.204,0.063,-0.347,-0.311,0.084,,,,,,,
68,Harris English,34099,70.571,0.481,-0.337,0.295,-0.022,0.011,0.503,1.0,0.5,1.0,0.5,,,
69,Matt Every,28307,,,,,,,,3.67,0.0,3.67,0.0,942.0,17.0,0.0
70,Brad Faxon,01329,,,,,,,,,,,,,,
71,Tony Finau,29725,69.753,1.498,0.298,0.219,1.482,0.816,0.017,-3.0,0.0,-3.0,0.0,,,
72,Matt Fitzpatrick,40098,70.135,1.145,0.266,0.291,0.625,0.041,0.521,,,,,,,
73,Tommy Fleetwood,30911,69.449,1.85,0.306,0.414,1.41,0.474,0.44,,,,,,,
74,Rickie Fowler,32102,69.365,1.804,0.19,0.324,1.382,0.781,0.423,,,,,,,
75,Ryan Fox,29936,,,,,,,,,,,,,,
76,Robin Freeman,01374,,,,,,,,,,,,,,
77,Dylan Frittelli,29970,72.305,-1.029,-0.413,-0.035,-1.09,-0.42,0.061,-11.33,0.67,-11.33,0.67,900.0,-10.0,1.0
78,Jim Furyk,10809,,,,,,,,,,,,,,
79,Brice Garnett,29535,71.575,0.066,-0.221,0.11,-0.202,-0.179,0.269,-2.33,0.17,-2.33,0.17,874.0,-1.0,0.0
80,Robert Garrigus,24358,,,,,,,,-6.67,0.67,-6.67,0.67,965.0,-1.0,0.0
81,Ryan Gerard,59018,71.323,-0.2,-0.25,0.097,0.178,0.106,-0.378,,,,,,,
82,Doug Ghim,52375,71.115,0.188,0.073,0.122,0.301,0.035,-0.113,-3.33,0.33,-3.33,0.33,901.0,1.0,0.0
83,Michael Gligic,32662,72.689,-1.301,0.314,-0.535,-0.972,-0.59,-0.328,-7.5,0.5,-7.5,0.5,943.0,-14.0,1.0
84,Lucas Glover,25900,71.673,-0.227,0.2,-0.074,0.395,0.332,-0.623,-9.4,0.6,-9.4,0.6,939.0,-2.0,0.0
85,Fabián Gómez,28679,,,,,,,,,,,,,,
86,Will Gordon,56762,70.859,0.169,0.5,-0.409,0.236,0.223,-0.068,-11.0,1.0,-11.0,1.0,,,
87,Jason Gore,22892,,,,,,,,,,,,,,
88,David Gossett,23338,,,,,,,,,,,,,,
89,Tano Goya,31577,71.565,-0.561,0.118,0.161,-0.253,-0.564,-0.308,,,,,,,
90,Brent Grant,51414,72.105,-1.318,0.731,-0.547,-0.483,-0.593,-0.835,,,,,,,
91,Nathan Green,23718,,,,,,,,,,,,,,
92,Ben Griffin,54591,70.403,0.585,-0.002,0.316,0.354,0.01,0.231,,,,,,,
93,Lanto Griffin,35310,,,,,,,,-3.0,0.5,-3.0,0.5,940.0,1.0,0.0
94,Emiliano Grillo,31646,70.623,0.487,0.251,-0.239,0.449,0.363,0.038,-18.0,1.0,-18.0,1.0,911.0,-18.0,1.0
95,Bill Haas,24924,,,,,,,,-5.0,0.25,-5.0,0.25,876.0,0.0,0.0
96,Chesson Hadley,34563,71.172,0.007,-0.133,-0.424,-0.283,0.291,0.29,-6.83,0.5,-6.83,0.5,889.0,-14.0,1.0
97,Adam Hadwin,33399,70.347,0.902,-0.081,0.116,0.45,0.422,0.452,-8.67,0.67,-8.67,0.67,866.0,0.0,0.0
98,James Hahn,32448,71.764,-0.284,0.185,-0.252,0.033,0.051,-0.317,0.0,1.0,0.0,1.0,924.0,0.0,1.0
99,Paul Haley II,35901,71.764,-0.804,-0.44,0.009,-0.794,-0.421,-0.01,,,,,,,
100,Harry Hall,57975,70.732,0.302,-0.202,0.273,-0.382,-0.404,0.684,,,,,,,
101,Nick Hardy,47988,70.887,-0.036,0.142,-0.296,0.143,0.333,-0.179,-9.0,1.0,-9.0,1.0,952.0,-10.0,1.0
102,Brian Harman,27644,70.319,0.703,0.252,-0.007,0.392,0.092,0.311,-7.8,0.6,-7.8,0.6,,,
103,Scott Harrington,27554,72.118,-1.152,0.032,-0.15,-0.402,-0.35,-0.749,-9.0,1.0,-9.0,1.0,,,
104,Tyrrell Hatton,34363,69.393,2.091,0.634,0.108,1.361,0.606,0.73,,,,,,,
105,J.P. Hayes,08537,,,,,,,,,,,,,,
106,David Hearn,26758,,,,,,,,-4.17,0.5,-4.17,0.5,902.0,-2.0,0.0
107,Russell Henley,34098,70.154,0.581,0.067,0.241,0.865,0.363,-0.284,-16.5,1.0,-16.5,1.0,,,
108,J.J. Henry,23353,,,,,,,,-6.0,0.5,-6.0,0.5,,,
109,Lucas Herbert,39058,71.295,-0.524,0.232,-0.336,-0.717,-0.464,0.193,,,,,,,
110,Jim Herman,31557,72.095,-1.127,-0.096,-0.211,-0.724,-0.448,-0.403,-4.0,0.33,-4.0,0.33,,,
111,Kramer Hickok,49298,71.553,-0.425,0.059,-0.041,-0.054,-0.144,-0.371,-0.33,0.33,-0.33,0.33,934.0,-3.0,1.0
112,Garrick Higgo,54421,71.31,-0.088,0.477,0.011,0.146,-0.307,-0.234,,,,,,,
113,Harry Higgs,33597,71.547,-0.986,-0.463,0.2,-1.355,-0.985,0.369,-1.0,0.0,-1.0,0.0,917.0,0.0,0.0
114,Lee Hodges,54628,70.814,0.302,0.276,-0.107,0.309,0.05,-0.007,-8.0,1.0,-8.0,1.0,941.0,-8.0,1.0
115,Charley Hoffman,12716,71.361,-0.253,0.027,0.021,0.381,0.362,-0.634,-2.5,0.5,-2.5,0.5,890.0,5.0,0.0
116,Tom Hoge,35532,70.761,0.379,-0.246,-0.176,0.408,0.89,-0.029,3.25,0.0,3.25,0.0,,,
117,Nicolai Hojgaard,52453,,,,,,,,,,,,,,
118,J.B. Holmes,27141,,,,,,,,1.0,0.0,1.0,0.0,,,
119,Max Homa,39977,69.783,1.678,0.188,0.174,1.054,0.633,0.624,-5.0,0.5,-5.0,0.5,,,
120,Billy Horschel,29420,71.559,-0.447,-0.339,-0.011,-0.599,-0.126,0.152,,,,,,,
121,Beau Hossler,35461,70.655,0.209,0.139,0.312,0.059,-0.525,0.15,-6.5,0.5,-6.5,0.5,,,
122,Viktor Hovland,46717,69.482,1.448,0.736,-0.035,1.326,0.567,0.122,-14.0,1.0,-14.0,1.0,,,
123,Mark Hubbard,36801,70.632,0.632,-0.129,0.148,0.601,0.594,0.031,-7.0,0.6,-7.0,0.6,945.0,-13.0,1.0
124,Mackenzie Hughes,35506,71.019,0.079,-0.337,0.247,-0.247,-0.15,0.326,-8.0,0.5,-8.0,0.5,,,
125,John Huh,34174,,,,,,,,-5.17,0.67,-5.17,0.67,925.0,-2.0,0.0
126,Sungjae Im,39971,70.055,1.154,0.451,0.246,0.865,0.157,0.29,-10.0,1.0,-10.0,1.0,,,
127,Trevor Immelman,22378,,,,,,,,0.5,0.0,0.5,0.0,,,
128,Tony Jacklin,06306,,,,,,,,,,,,,,
129,Stephan Jaeger,36799,70.264,0.715,0.205,0.412,0.816,0.218,-0.102,-5.5,0.5,-5.5,0.5,973.0,-10.0,1.0
130,Richard Johnson,26420,,,,,,,,5.5,0.0,5.5,0.0,966.0,5.0,0.0
131,Zach Johnson,24024,71.399,-0.554,-0.054,-0.091,-0.737,-0.388,0.183,-11.71,1.0,-11.71,1.0,992.0,-5.0,1.0
132,Sung Kang,27974,,,,,,,,-1.5,0.25,-1.5,0.25,974.0,4.0,0.0
133,Smylie Kaufman,46440,,,,,,,,2.5,0.0,2.5,0.0,,,
134,Michael Kim,39975,70.931,0.26,0.054,0.009,0.195,0.103,0.065,-6.0,0.6,-6.0,0.6,,,
135,S.H. Kim,50188,70.9,0.426,0.397,0.192,0.167,-0.452,0.259,,,,,,,
136,Si Woo Kim,37455,70.129,0.979,0.391,0.124,1.125,0.567,-0.146,1.0,0.0,1.0,0.0,,,
137,Tom Kim,55182,70.227,0.834,0.255,0.025,0.994,0.705,-0.16,,,,,,,
138,Chris Kirk,30926,70.407,0.942,-0.028,0.396,0.778,0.375,0.164,-9.5,1.0,-9.5,1.0,,,
139,Kevin Kisner,29478,,,,,,,,-9.0,1.0,-9.0,1.0,,,
140,Kurt Kitayama,48117,70.546,0.365,-0.04,0.053,0.298,0.323,0.067,,,,,,,
141,Patton Kizzire,32757,71.274,-0.314,-0.217,-0.029,-0.292,-0.036,-0.023,-12.25,1.0,-12.25,1.0,958.0,-12.0,1.0
142,Philip Knowles,54813,,,,,,,,,,,,,,
143,Russell Knox,33122,71.572,-0.58,-0.672,0.005,-0.219,0.462,-0.36,,,,,,,
144,Satoshi Kodaira,32816,,,,,,,,-1.33,0.33,-1.33,0.33,975.0,-10.0,1.0
145,Kelly Kraft,35879,72.049,-1.115,-0.43,-0.352,-1.416,-0.695,0.301,-8.2,1.0,-8.2,1.0,935.0,-11.0,1.0
146,Matt Kuchar,23108,70.351,0.77,0.002,0.44,0.546,0.115,0.225,,,,,,,
147,Martin Laird,27936,71.718,-0.641,-0.35,0.006,-0.41,-0.146,-0.231,-10.33,1.0,-10.33,1.0,946.0,-10.0,1.0
148,Andrew Landry,33410,72.623,-1.472,-0.18,-0.063,-1.425,-1.085,-0.047,-10.75,1.0,-10.75,1.0,,,
149,Nate Lashley,28775,70.934,0.296,-0.157,0.056,0.229,0.271,0.067,-7.0,0.5,-7.0,0.5,953.0,-2.0,0.0
150,Hank Lebioda,49766,72.547,-1.647,-0.552,-0.471,-1.392,-0.195,-0.254,-7.67,0.67,-7.67,0.67,918.0,-8.0,1.0
151,K.H. Lee,32791,70.589,0.46,0.09,0.212,0.393,0.026,0.066,,,,,,,
152,Min Woo Lee,37378,,,,,,,,,,,,,,
153,Ian Leggatt,10565,,,,,,,,,,,,,,
154,Justin Leonard,10860,,,,,,,,,,,,,,
155,Nicholas Lindheim,37278,,,,,,,,-4.0,0.67,-4.0,0.67,,,
156,David Lingmerth,34409,71.491,-0.632,-0.482,-0.077,-0.609,-0.068,-0.023,-0.75,0.0,-0.75,0.0,903.0,-2.0,0.0
157,David Lipsky,36326,71.229,-0.298,-0.142,0.105,0.257,0.248,-0.556,-11.0,1.0,-11.0,1.0,904.0,-11.0,1.0
158,Luke List,27129,71.451,-0.271,0.562,-0.229,0.656,0.357,-0.927,-8.33,1.0,-8.33,1.0,,,
159,Adam Long,35449,71.501,-0.27,-0.306,0.109,-0.668,-0.521,0.398,-11.0,1.0,-11.0,1.0,868.0,-13.0,1.0
160,Davis Love III,01706,,,,,,,,5.0,0.0,5.0,0.0,,,
161,Justin Lower,40162,71.273,0.041,-0.242,-0.234,-0.516,-0.017,0.557,,,,,,,
162,Shane Lowry,33204,70.204,0.819,0.396,0.009,1.072,0.62,-0.252,,,,,,,
163,Will MacKenzie,24912,,,,,,,,-1.0,0.5,-1.0,0.5,,,
164,Hunter Mahan,24781,,,,,,,,-1.75,0.25,-1.75,0.25,,,
165,Peter Malnati,34466,71.463,-0.112,-0.646,0.374,-0.647,-0.172,0.535,-7.0,0.83,-7.0,0.83,959.0,-10.0,1.0
166,Ben Martin,33413,70.872,0.109,0.004,-0.408,0.072,0.492,0.037,-7.25,0.5,-7.25,0.5,879.0,3.0,0.0
167,Shigeki Maruyama,12680,,,,,,,,,,,,,,
168,Hideki Matsuyama,32839,70.214,1.052,0.09,0.412,1.115,0.585,-0.063,,,,,,,
169,Troy Matteson,27120,,,,,,,,,,,,,,
170,Brandon Matthews,51491,73.005,-2.13,0.252,-1.08,-1.217,-0.236,-0.913,,,,,,,
171,Denny McCarthy,47993,69.758,1.136,-0.001,0.099,0.352,0.103,0.784,-7.5,0.5,-7.5,0.5,905.0,-16.0,1.0
172,Tyler McCumber,40042,,,,,,,,,,,,,,
173,William McGirt,31202,,,,,,,,-1.0,0.5,-1.0,0.5,990.0,2.0,0.0
174,Jim McGovern,06090,,,,,,,,,,,,,,
175,Max McGreevy,51950,73.015,-2.339,-0.617,0.011,-1.791,-1.182,-0.548,,,,,,,
176,Rory McIlroy,28237,69.174,2.089,1.052,0.373,2.039,0.769,0.049,,,,,,,
177,Parker McLachlin,24449,,,,,,,,0.4,0.2,0.4,0.2,960.0,6.0,0.0
178,Maverick McNealy,46442,70.398,0.316,-0.488,0.154,-0.742,-0.282,1.058,-12.33,1.0,-12.33,1.0,947.0,-15.0,1.0
179,George McNeill,24490,,,,,,,,1.0,0.0,1.0,0.0,,,
180,John Merrick,27933,,,,,,,,-2.6,0.4,-2.6,0.4,927.0,-1.0,0.0
181,Troy Merritt,32640,72.058,-0.865,-0.328,0.025,-0.269,-0.102,-0.596,-3.0,0.5,-3.0,0.5,,,
182,Shaun Micheel,06515,,,,,,,,-8.0,1.0,-8.0,1.0,,,
183,Johnny Miller,01815,,,,,,,,,,,,,,
184,Keith Mitchell,39546,70.632,0.635,0.836,-0.122,0.416,-0.163,0.219,-9.0,0.5,-9.0,0.5,,,
185,Francesco Molinari,25198,71.938,-0.523,-0.291,-0.241,-0.423,-0.025,-0.1,-19.0,1.0,-19.0,1.0,,,
186,Taylor Montgomery,55789,70.352,0.678,-0.027,0.235,-0.303,-0.517,0.981,,,,,,,
187,Ryan Moore,26596,71.682,-0.272,-0.311,-0.201,-0.101,0.359,-0.17,-11.29,0.86,-11.29,0.86,967.0,-11.0,1.0
188,Taylor Moore,49947,70.446,0.781,0.228,-0.01,0.225,0.039,0.555,-11.0,1.0,-11.0,1.0,985.0,-11.0,1.0
189,Collin Morikawa,50525,69.659,1.582,0.489,0.028,1.647,1.108,-0.065,-17.0,1.0,-17.0,1.0,,,
190,Trey Mullinax,46601,71.965,-0.622,-0.027,-0.093,-0.301,-0.114,-0.322,-1.5,0.25,-1.5,0.25,986.0,1.0,0.0
191,Grayson Murray,34213,,,,,,,,-0.5,0.0,-0.5,0.0,914.0,-1.0,0.0
192,Matt NeSmith,36871,71.086,0.032,-0.019,-0.036,0.136,0.151,-0.104,,,,,,,
193,Jack Nicklaus,01869,,,,,,,,,,,,,,
194,S.Y. Noh,29289,71.495,-0.703,-0.528,-0.156,-1.296,-0.557,0.593,,,,,,,
195,Alex Noren,27349,70.811,0.559,-0.398,0.413,0.108,0.066,0.452,,,,,,,
196,Henrik Norlander,30163,71.566,-0.825,-0.13,0.035,-0.266,-0.115,-0.559,-7.0,0.67,-7.0,0.67,919.0,0.0,0.0
197,Vincent Norrman,51070,70.966,0.107,0.321,0.037,0.426,0.006,-0.319,,,,,,,
198,Andrew Novak,51997,70.933,0.561,-0.144,0.188,0.173,0.062,0.388,,,,,,,
199,Augusto Núñez,36724,71.509,-0.303,-0.095,0.054,0.087,0.017,-0.39,,,,,,,
200,Sean O'Hair,24140,71.407,-0.181,-0.157,0.231,-0.069,-0.131,-0.113,-3.2,0.2,-3.2,0.2,977.0,-1.0,0.0
201,Arron Oberholser,20628,,,,,,,,,,,,,,
202,Joe Ogilvie,21949,,,,,,,,,,,,,,
203,Geoff Ogilvy,22046,,,,,,,,-5.5,0.5,-5.5,0.5,,,
204,Ryan Palmer,23320,70.94,0.224,0.289,-0.097,0.711,0.361,-0.487,-4.67,0.33,-4.67,0.33,,,
205,C.T. Pan,29908,,,,,,,,-8.33,0.67,-8.33,0.67,892.0,-11.0,1.0
206,Taylor Pendrith,40250,71.263,0.023,0.275,-0.127,0.051,-0.082,-0.027,,,,,,,
207,Cameron Percy,22056,71.532,0.158,0.116,-0.098,-0.067,-0.192,0.226,-5.0,0.5,-5.0,0.5,893.0,1.0,0.0
208,Scott Piercy,25818,71.019,0.195,-0.239,0.043,0.163,0.261,0.031,-2.75,0.5,-2.75,0.5,978.0,3.0,0.0
209,Gary Player,01955,,,,,,,,,,,,,,
210,D.A. Points,25240,,,,,,,,0.17,0.0,0.17,0.0,906.0,2.0,0.0
211,J.T. Poston,49771,70.927,0.007,0.037,-0.091,0.036,0.064,-0.029,-6.2,0.6,-6.2,0.6,928.0,-21.0,1.0
212,"Ted Potter, Jr.",27556,,,,,,,,,,,,,,
213,Seamus Power,28252,70.681,0.281,0.022,0.159,-0.187,-0.309,0.468,-11.5,1.0,-11.5,1.0,,,
214,Ted Purdy,21959,,,,,,,,6.0,0.0,6.0,0.0,,,
215,Andrew Putnam,34256,70.133,0.791,-0.421,0.081,0.1,0.408,0.691,-2.0,0.25,-2.0,0.25,869.0,-9.0,1.0
216,Jon Rahm,46970,68.788,2.244,0.516,0.143,1.769,0.982,0.475,-13.0,1.0,-13.0,1.0,,,
217,Aaron Rai,46414,70.509,0.649,0.261,0.146,0.941,0.409,-0.292,,,,,,,
218,Chad Ramey,47983,71.569,-0.268,-0.119,-0.047,-0.629,-0.414,0.361,,,,,,,
219,Chez Reavie,26476,71.463,-0.086,-0.244,-0.237,-0.132,0.29,0.046,-5.2,0.6,-5.2,0.6,894.0,0.0,0.0
220,Doc Redman,53165,71.666,-0.691,-0.081,-0.543,-0.841,-0.265,0.15,-4.0,0.33,-4.0,0.33,907.0,0.0,0.0
221,Davis Riley,47995,71.154,-0.105,-0.06,-0.317,-0.021,0.441,-0.084,,,,,,,
222,Patrick Rodgers,36699,70.214,0.759,0.304,0.264,0.505,-0.133,0.254,-10.33,0.83,-10.33,0.83,961.0,-10.0,1.0
223,Chi Chi Rodriguez,02015,,,,,,,,,,,,,,
224,John Rollins,22913,,,,,,,,3.25,0.0,3.25,0.0,,,
225,Justin Rose,22405,69.62,1.399,-0.037,0.302,0.982,0.597,0.417,,,,,,,
226,Kevin Roy,39335,71.569,-0.334,-0.1,-0.125,0.172,0.442,-0.506,,,,,,,
227,Sam Ryder,37275,70.793,0.44,-0.495,-0.137,-0.377,0.299,0.817,-10.5,1.0,-10.5,1.0,980.0,-5.0,1.0
