,player,player_id,scoring Average,SG total Average,SG OTT Average,SG ATG Average,SG TTG Average,SG APR Average,SG PUT Average,avg_score_tourney,avg_cut_tourney,avg_score_course,avg_cut_course,index,last_season_score,last_season_cut,odds
202,Chris Stroud,27963,71.068,0.207,-0.134,-0.152,0.332,0.617,-0.125,-1.0,0.4,-1.0,0.4,,,,
203,Brian Stuard,31560,72.225,-0.724,-0.932,0.365,-0.931,-0.364,0.207,-3.14,1.0,-3.14,1.0,2121.0,4.0,1.0,
204,Justin Suh,50493,70.686,0.31,0.091,-0.276,-0.074,0.111,0.384,,,,,,,,23250.0
205,Adam Svensson,40115,70.873,0.804,0.088,0.184,0.402,0.346,0.402,-7.0,1.0,-7.0,1.0,2108.0,-7.0,1.0,19083.0
206,Callum Tarren,48699,71.764,-0.575,-0.08,-0.464,-0.405,0.138,-0.17,,,,,,,,54167.0
207,Ben Taylor,48119,70.694,0.919,-0.061,0.059,0.132,0.134,0.787,,,,,,,,43000.0
208,Nick Taylor,25493,70.295,1.146,0.04,0.345,0.737,0.352,0.408,1.57,0.43,1.57,0.43,2193.0,4.0,0.0,14167.0
209,Vaughn Taylor,23325,,,,,,,,2.17,0.5,2.17,0.5,,,,
210,Sahith Theegala,51634,70.513,0.572,-0.133,0.206,0.342,0.269,0.23,6.0,1.0,6.0,1.0,2218.0,6.0,1.0,5833.0
211,Justin Thomas,33448,70.769,1.067,0.316,0.628,1.284,0.341,-0.217,-4.0,1.0,-4.0,1.0,2170.0,-6.0,1.0,2517.0
212,Davis Thompson,58168,71.126,-0.091,0.527,-0.185,0.073,-0.269,-0.164,,,,,,,,24000.0
213,Michael Thompson,32150,71.503,0.083,0.075,0.038,-0.137,-0.25,0.22,-3.71,0.57,-3.71,0.57,2190.0,2.0,0.0,20333.0
214,Brendon Todd,30927,70.604,0.839,-0.326,0.422,0.362,0.265,0.477,-4.2,0.6,-4.2,0.6,2122.0,-7.0,1.0,15333.0
215,D.J. Trahan,23788,,,,,,,,6.0,0.0,6.0,0.0,,,,
216,Martin Trainer,35617,71.901,-1.083,-0.52,-0.212,-1.16,-0.428,0.076,7.33,0.0,7.33,0.0,2191.0,9.0,0.0,
217,Kevin Tway,32333,71.156,-0.202,-0.033,-0.228,-0.364,-0.103,0.163,-0.25,0.5,-0.25,0.5,2176.0,2.0,0.0,60333.0
218,Bo Van Pelt,23623,,,,,,,,-0.67,0.33,-0.67,0.33,,,,
219,Erik van Rooyen,40006,71.439,-0.363,0.0,-0.222,-0.013,0.209,-0.35,-12.5,1.0,-12.5,1.0,2149.0,-11.0,1.0,29833.0
220,Jhonattan Vegas,27064,70.856,0.478,0.865,-0.255,1.009,0.399,-0.531,-7.0,0.5,-7.0,0.5,,,,
221,Camilo Villegas,27770,72.645,-3.547,-1.629,0.324,-3.266,-1.961,-0.281,1.0,0.75,1.0,0.75,2136.0,0.0,1.0,
222,Jimmy Walker,25632,71.881,-0.337,-0.414,0.224,-0.365,-0.024,0.027,1.0,0.0,1.0,0.0,,,,77500.0
223,Matt Wallace,48887,70.589,0.552,-0.413,0.509,0.606,0.51,-0.055,-2.33,0.67,-2.33,0.67,,,,14333.0
224,Nick Watney,27095,72.639,-1.879,-1.335,-0.204,-1.767,-0.228,-0.112,4.4,0.2,4.4,0.2,2194.0,7.0,0.0,
225,Trevor Werbylo,58967,71.989,-0.932,-0.412,0.195,-0.998,-0.781,0.067,,,,,,,,
226,Richy Werenski,47128,72.281,-0.996,-0.102,-0.277,-1.413,-1.034,0.417,2.75,0.25,2.75,0.25,2205.0,1.0,0.0,85000.0
227,Kyle Westmoreland,52411,71.845,-0.365,0.086,-0.166,-0.153,-0.073,-0.211,,,,,,,,
228,Vince Whaley,51894,,,,,,,,,,,,,,,
229,Tim Wilkinson,25349,,,,,,,,3.0,0.0,3.0,0.0,,,,
230,Danny Willett,32139,70.81,0.771,-0.077,0.3,0.306,0.083,0.465,-1.0,0.4,-1.0,0.4,2147.0,-3.0,1.0,26000.0
231,Aaron Wise,49964,70.912,0.136,-0.198,0.27,-0.593,-0.665,0.729,-1.0,0.33,-1.0,0.33,2109.0,-8.0,1.0,
232,Gary Woodland,31323,71.079,-0.004,0.633,-0.536,0.718,0.622,-0.723,-6.0,1.0,-6.0,1.0,,,,12500.0
233,Tiger Woods,08793,,,,,,,,,,,,,,,
234,Brandon Wu,52374,70.768,-0.092,0.102,0.057,0.109,-0.049,-0.201,,,,,,,,31667.0
235,Dylan Wu,54783,70.837,0.348,0.049,0.132,0.4,0.219,-0.051,,,,,,,,
236,Cameron Young,57366,70.713,0.641,0.639,-0.15,1.146,0.657,-0.505,-12.0,1.0,-12.0,1.0,2137.0,-12.0,1.0,2100.0
237,Cameron Young,57366,70.713,0.641,0.639,-0.15,1.146,0.657,-0.505,-12.0,1.0,-12.0,1.0,2137.0,-12.0,1.0,94167.0
238,Carson Young,52513,71.938,-1.122,-0.089,-0.384,-0.881,-0.408,-0.241,,,,,,,,2100.0
239,Carson Young,52513,71.938,-1.122,-0.089,-0.384,-0.881,-0.408,-0.241,,,,,,,,94167.0
240,Kevin Yu,45242,70.373,0.817,0.912,-0.007,1.391,0.486,-0.574,,,,,,,,
241,Carl Yuan,55454,71.425,-0.331,0.23,-0.271,-0.074,-0.034,-0.257,,,,,,,,
242,Will Zalatoris,47483,71.295,0.567,0.612,-0.062,0.735,0.185,-0.168,-5.0,1.0,-5.0,1.0,,,,
